Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Strand	Chromosome/scaffold name
ENSMUSG00000064372	15356	15422	mt-Tp	-1	MT
ENSMUSG00000064371	15289	15355	mt-Tt	1	MT
ENSMUSG00000064370	14145	15288	mt-Cytb	1	MT
ENSMUSG00000064369	14071	14139	mt-Te	-1	MT
ENSMUSG00000064368	13552	14070	mt-Nd6	-1	MT
ENSMUSG00000064367	11742	13565	mt-Nd5	1	MT
ENSMUSG00000064366	11671	11741	mt-Tl2	1	MT
ENSMUSG00000064365	11613	11671	mt-Ts2	1	MT
ENSMUSG00000064364	11546	11612	mt-Th	1	MT
ENSMUSG00000064363	10167	11544	mt-Nd4	1	MT
ENSMUSG00000065947	9877	10173	mt-Nd4l	1	MT
ENSMUSG00000064361	9808	9875	mt-Tr	1	MT
ENSMUSG00000064360	9459	9806	mt-Nd3	1	MT
ENSMUSG00000064359	9391	9458	mt-Tg	1	MT
ENSMUSG00000064358	8607	9390	mt-Co3	1	MT
ENSMUSG00000064357	7927	8607	mt-Atp6	1	MT
ENSMUSG00000064356	7766	7969	mt-Atp8	1	MT
ENSMUSG00000064355	7700	7764	mt-Tk	1	MT
ENSMUSG00000064354	7013	7696	mt-Co2	1	MT
ENSMUSG00000064353	6942	7011	mt-Td	1	MT
ENSMUSG00000064352	6870	6938	mt-Ts1	-1	MT
ENSMUSG00000064351	5328	6872	mt-Co1	1	MT
ENSMUSG00000064350	5260	5326	mt-Ty	-1	MT
ENSMUSG00000064349	5192	5257	mt-Tc	-1	MT
ENSMUSG00000064348	5089	5159	mt-Tn	-1	MT
ENSMUSG00000064347	5018	5086	mt-Ta	-1	MT
ENSMUSG00000064346	4950	5016	mt-Tw	1	MT
ENSMUSG00000064345	3914	4951	mt-Nd2	1	MT
ENSMUSG00000064344	3845	3913	mt-Tm	1	MT
ENSMUSG00000064343	3772	3842	mt-Tq	-1	MT
ENSMUSG00000064342	3706	3774	mt-Ti	1	MT
ENSMUSG00000064341	2751	3707	mt-Nd1	1	MT
ENSMUSG00000064340	2676	2750	mt-Tl1	1	MT
ENSMUSG00000064339	1094	2675	mt-Rnr2	1	MT
ENSMUSG00000064338	1025	1093	mt-Tv	1	MT
ENSMUSG00000064337	70	1024	mt-Rnr1	1	MT
ENSMUSG00000064336	1	68	mt-Tf	1	MT
ENSMUSG00000077642	72527550	72527682	Gm24984	1	10
ENSMUSG00000065208	23111617	23111755	Gm24616	1	16
ENSMUSG00000065678	100604359	100604462	Gm24261	1	13
ENSMUSG00000093914	10497548	10497668	Gm22166	1	2
ENSMUSG00000076399	53048299	53048367	Mir450-2	-1	X
ENSMUSG00000096305	59733770	59733863	Gm23047	-1	7
ENSMUSG00000088353	57467870	57468026	Gm24014	1	1
ENSMUSG00000087744	70799556	70799637	Gm25149	-1	9
ENSMUSG00000088440	56192999	56193133	Gm23555	1	18
ENSMUSG00000098676	88972030	88972110	Mir6359	1	18
ENSMUSG00000093000	118434721	118434830	Gm24155	1	3
ENSMUSG00000080370	56761922	56762041	Gm22952	-1	4
ENSMUSG00000098359	128974840	128974895	Mir7649	-1	6
ENSMUSG00000084496	78370013	78370320	Gm22514	-1	10
ENSMUSG00000098772	97049481	97049585	Gm27441	-1	14
ENSMUSG00000098518	47603889	47604008	Gm27668	1	4
ENSMUSG00000080437	67213296	67213419	Gm24274	-1	8
ENSMUSG00000088957	63488993	63489098	Gm24946	1	3
ENSMUSG00000095857	50290380	50290486	Gm22618	-1	5
ENSMUSG00000084611	32514787	32515053	Gm24371	1	4
ENSMUSG00000093336	32652329	32652414	Mir1954	1	2
ENSMUSG00000078129	154551776	154553276	Actl10	1	2
ENSMUSG00000077439	66483553	66483682	Gm22594	1	10
ENSMUSG00000096017	59756514	59756607	Gm26502	-1	7
ENSMUSG00000084560	11087781	11087913	Gm26478	-1	2
ENSMUSG00000065192	52444436	52444544	Gm23460	-1	1
ENSMUSG00000098929	15942900	15942991	Mir6400	-1	4
ENSMUSG00000088407	92486818	92486879	Gm25884	1	10
